,text,label
0,ডেটল নতুন ভেরিয়েশন এনেছে ভালো লাগল। সাবানটি সত্যিই অনেক ভালো। এলোভেরা এমনিতেও স্কিনের জীবাণু ধ্বংস করতে কার্যকরী। ডেটল নতুন করে সাবানের সাথে সংযুক্ত করায় ভালো হয়েছে।🥳,1
1,Dettol Aloe Vera Soap er fragrance ta amar kache onek valo lagse 😋😋..ar meyad'O ase march 2023 porjonto..,1
2,"প্রোডাক্ট খুবই ভালো ছিল।
যেমনটা অর্ডার করেছি,তেমনটাই পেয়েছি।
আর প্রোডাক্ট টি দারাজ খুব সুন্দর ভাবে প্যাকেটিং করে দিয়েছে।Smell ta khuv Valo chilo😍১টি সোপ এর  জন্য ১ টি বক্স দিয়েছেন।
আমি অত্যন্ত খুশি।
#LoveDaraz❤
#LoveDettol💛
#Happy Shopping🔥",1
3, পন্যগুলো দ্রুত  ডেলিভারি পেয়ে।দেখতে সুন্দর।  একদম জেনুইন। ধন্যবাদ দারাজ ও সেলারকে।,1
4,Very good smell.,1
5,it's original Dettol product.. you should always buy from original source !!!,1
6,"অনেক ভালো লাগছে আমার কাছে ,,।বাজার মুল্য ৪২ টাকা ,,আমি পেয়েছি ৩৭ টাকায়। ইক্সপেয়ার ডেট ২৩ সাল পর্যন্ত রয়েছে।।।সকলেই নিতে পারেন।",1
7,"ভাউচার ব্যবহার করে রেগুলার দামের থেকে প্রায় অর্ধেক দামে নিতে পারলাম আর সাথে ফ্রী হোম ডেলিভারি সেইসাথে ২০২৩ সাল পর্যন্ত মেয়াদ আছে। সো কোনো চিন্তা নাই, পুরো মাখা মাখা অবস্থা।🔥",1
8,"Dettol . অনেক ভালো মানের বলা যায়। সেলার কথ দিয়ে কথা রাখছে। ভালো মানের সাবান দিসে। দাম হিসেবে perfect. সেলার কে ধন্যবাদ দ্রুত ডেলিভারি দিয়েছেন। 
products 10/10
seller 10/10
Delivery 10/",1
9,"দারাজের মাধ্যমে লক্ষ্মীপুর জেলা হাব(সেলার সেন্টার)এর বাহিরে এই প্রথম অর্ডার করছি,আলহামদুলিল্লাহ পণ্য খুবই ভালো পেয়েছি।দুই প্যাক ডেটল অ্যালোভেরা সাবান+ফ্রি পণ্য Baby Soap পেয়েছি।হৃদয় থেকে দিলখোলা ভালোবাসা রইলো।",1
10,Alhamdulillah. ভালো প্রডাক্ট পেলাম ।  প্যাকেজিং অনেক ভালো ছিল। অনেক ভালো প্রডাক্ট  দিয়েছে সেলার । এটা একটা positive দিক।  সব ওকে। thanks Daraz & সেলার,1
11,Dettol aloe vera bathing bar. Jodio alo vera lekha smell pacchi kochi lebur. But I like the smell. Overall nice. Service and delivery Satisfied. But the delivery man is not professional. Daraz should take charge.,1
12,দেখতে সুন্দর  মান আনেক ভাল।ডেলিভারিতে ঠিকঠাক  মত পায়ছি।সব মিলিয়ে ঠিকঠাক। রেটিংঃ-১০/৯,1
13,Good product. Specially it's smell and it's smells like lemon or Raw aloe vera.,1
14,great product and 100% original. good smell. ,1
15,"কোয়ালিটি, অনেক ভালো স্মেল  টা অনেক সুন্দর। ",1
16,ডেটল মানে এক কথায় ১০/১০. ঠিকঠাক মত পেয়েছি।,1
